Unique_sample_ID	Location2	Collection_Group	Sex	bam_path
0002_140826_Hon01_F	Sinuapa	Honduras_1	F	bamfiles/season1_trim_C732HANXX-1587-01-25-1_L007_map_190110_2_RG.bam
0003_140826_Hon02_M	Sinuapa	Honduras_1	M	bamfiles/season1_trim_C732HANXX-1587-02-25-1_L007_map_190110_2_RG.bam
0004_140826_Hon02_F	Sinuapa	Honduras_1	F	bamfiles/season1_trim_C732HANXX-1587-03-25-1_L007_map_190110_2_RG.bam
0005_140826_Hon03_M	Sinuapa	Honduras_1	M	bamfiles/season1_trim_C732HANXX-1587-04-25-1_L007_map_190110_2_RG.bam
0006_140826_Hon03_F	Sinuapa	Honduras_1	F	bamfiles/season1_trim_C732HANXX-1587-05-25-1_L007_map_190110_2_RG.bam
0018_140826_Hon09_F	La_Esperanza	Honduras_2	F	bamfiles/season1_trim_C732HANXX-1587-06-25-1_L007_map_190110_2_RG.bam
0023_140930_Hon01_F	Sinuapa	Honduras_1	F	bamfiles/season1_trim_C732HANXX-1587-07-25-1_L007_map_190110_2_RG.bam
0025_140930_Hon02_F	Sinuapa	Honduras_1	F	bamfiles/season1_trim_C732HANXX-1587-08-25-1_L007_map_190110_2_RG.bam
0026_140930_Hon02_M	Sinuapa	Honduras_1	M	bamfiles/season1_trim_C732HANXX-1587-09-25-1_L007_map_190110_2_RG.bam
0027_140930_Hon03_F	Sinuapa	Honduras_1	F	bamfiles/season1_trim_C732HANXX-1587-10-25-1_L007_map_190110_2_RG.bam
0045_141029_Hon01_F	Sinuapa	Honduras_1	F	bamfiles/season1_trim_C732HANXX-1587-11-25-1_L007_map_190110_2_RG.bam
0046_141029_Hon02_M	Sinuapa	Honduras_1	M	bamfiles/season1_trim_C732HANXX-1587-12-25-1_L007_map_190110_2_RG.bam
0047_141029_Hon02_M	Sinuapa	Honduras_1	M	bamfiles/season1_trim_C732HANXX-1587-13-25-1_L007_map_190110_2_RG.bam
0081_141125_Hon09_F	La_Esperanza	Honduras_2	F	bamfiles/season1_trim_C732HANXX-1587-14-25-1_L007_map_190110_2_RG.bam
0082_141125_Hon09_F	La_Esperanza	Honduras_2	F	bamfiles/season1_trim_C732HANXX-1587-15-25-1_L007_map_190110_2_RG.bam
0084_141125_Hon09_F	La_Esperanza	Honduras_2	F	bamfiles/season1_trim_C732HANXX-1587-16-25-1_L007_map_190110_2_RG.bam
0085_141125_Hon09_F	La_Esperanza	Honduras_2	F	bamfiles/season1_trim_C732HANXX-1587-17-25-1_L007_map_190110_2_RG.bam
0086_141125_Hon09_F	La_Esperanza	Honduras_2	F	bamfiles/season1_trim_C732HANXX-1587-18-25-1_L007_map_190110_2_RG.bam
0087_141125_Hon09_F	La_Esperanza	Honduras_2	F	bamfiles/season1_trim_C732HANXX-1587-19-25-1_L007_map_190110_2_RG.bam
0088_141125_Hon09_F	La_Esperanza	Honduras_2	F	bamfiles/season1_trim_C732HANXX-1587-20-25-1_L007_map_190110_2_RG.bam
0089_141125_Hon09_F	La_Esperanza	Honduras_2	F	bamfiles/season1_trim_C732HANXX-1587-21-25-1_L007_map_190110_2_RG.bam
0090_141125_Hon09_F	La_Esperanza	Honduras_2	F	bamfiles/season1_trim_C732HANXX-1587-22-25-1_L007_map_190110_2_RG.bam
0091_141125_Hon09_U	La_Esperanza	Honduras_2	U	bamfiles/season1_trim_C732HANXX-1587-23-25-1_L007_map_190110_2_RG.bam
0092_141125_Hon09_U	La_Esperanza	Honduras_2	U	bamfiles/season1_trim_C732HANXX-1587-24-25-1_L007_map_190110_2_RG.bam
0141_150310_Col02_U	Manawatu	Manawatu	U	bamfiles/season1_trim_C732HANXX-1587-73-25-1_L007_map_190110_2_RG.bam
0142_150310_Col02_U	Manawatu	Manawatu	U	bamfiles/season1_trim_C732HANXX-1587-74-25-1_L007_map_190110_2_RG.bam
0143_150310_Col02_U	Manawatu	Manawatu	U	bamfiles/season1_trim_C732HANXX-1587-75-25-1_L007_map_190110_2_RG.bam
0144_150310_Col02_U	Manawatu	Manawatu	U	bamfiles/season1_trim_C732HANXX-1587-76-25-1_L007_map_190110_2_RG.bam
0145_150310_Col02_U	Manawatu	Manawatu	U	bamfiles/season1_trim_C732HANXX-1587-77-25-1_L007_map_190110_2_RG.bam
0146_150310_Col02_U	Manawatu	Manawatu	U	bamfiles/season1_trim_C732HANXX-1587-78-25-1_L007_map_190110_2_RG.bam
